2018-06-26,1.62%
2018-06-27,1.95%
2018-06-28,1.55%
2018-06-29,2.37%
2018-07-02,3.12%
2018-07-03,2.32%
2018-07-04,1.4%
2018-07-05,1.8%
2018-07-06,2.85%
2018-07-09,2.31%
2018-07-10,0.99%
2018-07-11,1.48%
2018-07-12,2.63%
2018-07-13,0.59%
2018-07-16,1.17%
2018-07-17,1.14%
2018-07-18,1.16%
2018-07-19,1.45%
2018-07-20,3.03%
2018-07-23,1.91%
2018-07-24,1.72%
2018-07-25,0.63%
2018-07-26,1.36%
2018-07-27,0.89%
2018-07-30,1.59%
2018-07-31,1.06%
2018-08-01,2.55%
2018-08-02,3.15%
2018-08-03,1.35%
2018-08-06,2.49%
2018-08-07,3.08%
2018-08-08,1.4%
2018-08-09,2.75%
2018-08-10,1.02%
2018-08-13,1.69%
2018-08-14,0.82%
2018-08-15,2.03%
2018-08-16,2.21%
2018-08-17,2.39%
2018-08-20,1.7%
2018-08-21,1.59%
2018-08-22,0.84%
2018-08-23,1.3%
2018-08-24,1.6%
2018-08-27,1.63%
2018-08-28,0.79%
2018-08-29,0.58%
2018-08-30,1.6%
2018-08-31,1.25%
2018-09-03,1.12%
2018-09-04,1.63%
2018-09-05,1.5%
2018-09-06,1.32%
2018-09-07,1.67%
2018-09-10,1.34%
2018-09-11,1.04%
2018-09-12,0.93%
2018-09-13,1.35%
2018-09-14,0.73%
2018-09-17,0.87%
2018-09-18,2.11%
2018-09-19,2.04%
2018-09-20,0.73%
2018-09-21,2.76%
2018-09-25,0.67%
2018-09-26,1.58%
2018-09-27,0.86%
2018-09-28,1.07%
2018-10-08,2.19%
2018-10-09,0.85%
2018-10-10,1.49%
2018-10-11,3.7%
2018-10-12,3.07%
2018-10-15,1.81%
2018-10-16,2.39%
2018-10-17,2.55%
2018-10-18,2.31%
2018-10-19,4.19%
2018-10-22,4.3%
2018-10-23,2.88%
2018-10-24,2.41%
2018-10-25,2.86%
2018-10-26,1.74%
2018-10-29,2.55%
2018-10-30,2.56%
2018-10-31,1.79%
2018-11-01,1.27%
2018-11-02,1.83%
2018-11-05,1.27%
2018-11-06,0.96%
2018-11-07,1.37%
2018-11-08,1.14%
2018-11-09,0.88%
2018-11-12,1.58%
2018-11-13,2.63%
2018-11-14,1.14%
2018-11-15,1.38%
2018-11-16,1.44%
2018-11-19,1.09%
2018-11-20,1.76%
2018-11-21,1.36%
2018-11-22,0.89%
2018-11-23,2.45%
2018-11-26,1.05%
2018-11-27,1.02%
2018-11-28,1.57%
2018-11-29,1.93%
2018-11-30,1.36%
2018-12-03,1.4%
2018-12-04,0.8%
2018-12-05,1.29%
2018-12-06,1.15%
2018-12-07,0.59%
2018-12-10,0.9%
2018-12-11,0.5%
2018-12-12,0.58%
2018-12-13,1.78%
2018-12-14,1.34%
2018-12-17,0.97%
2018-12-18,1.37%
2018-12-19,1.27%
2018-12-20,1.52%
